TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
238.585034014,-145.497,1.57703,1.72275,3.82641,1.07022,2.6819,0.983091,1.02776,1.90769,4.45335,1.39822,2.19513,1.78682,0.744693,-0.340371,-0.125794,-0.85669,-0.644733,-1.48513,-1.10606,-1.02383
238.608253968,-148.932,2.40776,3.3916,3.81675,0.0538023,2.80229,1.40348,1.54833,-0.0939739,3.39762,2.07784,3.40227,3.04924,3.92391,0.762517,1.45901,-0.215075,-1.21957,-1.25365,1.52018,-0.13611
238.631473923,-143.001,5.96279,4.37151,2.38414,-0.92061,1.32835,0.423287,1.24929,-0.531814,2.59333,1.32631,2.62412,0.472978,1.75095,0.743851,1.66515,0.820924,1.40601,0.294135,-0.630992,0.856645
238.654693878,-142.934,4.2189,1.29374,2.88317,1.29076,3.54258,1.63937,1.20734,-1.42765,2.62893,2.25959,2.1421,3.34074,0.577693,-0.261606,-0.00854053,-0.0332844,-0.240102,-0.279339,1.59846,1.61995
238.677913832,-150.635,7.34403,3.7744,3.17565,-0.585269,2.82103,1.99949,3.19153,2.72553,2.40483,1.27997,1.34036,0.554299,0.609405,0.764498,1.13574,-0.50245,1.03061,-0.91617,-2.85193,0.652799
238.701133787,-175.109,9.52074,2.35881,9.30276,1.70051,5.47749,4.88726,3.40394,-0.808582,1.5881,-0.877269,-0.33873,1.59747,3.50655,1.76946,0.210325,-0.181972,-0.148794,-1.20589,0.179645,-0.561956
238.724353741,-170.113,11.7312,4.00095,8.36924,0.787813,3.3845,0.99006,2.09724,1.06187,1.99655,0.495313,1.99266,1.32805,3.56303,1.8457,-0.791362,-0.944219,0.237525,-1.92552,0.419164,1.44785
238.747573696,-169.111,11.7015,3.3244,7.05115,1.26108,4.96302,3.50014,2.5019,2.06423,1.29867,1.35069,0.0892746,0.500744,1.86708,1.21371,-0.551992,-0.329265,0.0239558,-1.0279,-0.312931,1.02414
238.770793651,-169.859,11.0723,3.89722,8.87302,1.73122,4.3614,3.43433,1.91152,0.906241,0.635932,1.7069,2.55203,1.5806,1.35975,0.00826383,0.907091,-0.368627,-0.396285,0.558307,0.147242,0.556924
238.794013605,-169.287,13.9972,4.39152,7.60521,1.91735,4.53957,2.80866,0.896628,0.587538,0.924576,0.499469,1.77133,2.27758,-0.0354513,-0.0179009,0.801548,-0.214318,0.686135,-2.10927,0.745335,2.14097
238.817233560,-174.988,12.3828,6.94696,7.54774,0.953422,3.76031,0.965034,4.12117,1.40319,0.00929064,1.02573,5.1018,2.20591,1.08295,-2.22394,0.472193,1.83551,-1.42716,-2.88322,-1.33009,-0.1611
238.840453515,-178.002,10.3786,2.97878,6.68679,2.80328,6.02516,1.19467,1.00384,1.26821,3.35685,4.34361,2.98276,2.3683,4.41634,0.356858,-0.907386,-2.16116,-1.57737,-0.941039,0.543199,1.51383
238.863673469,-132.207,2.87119,-0.642589,2.424,2.47224,1.69211,-0.118639,-0.093171,3.29757,4.6351,1.37639,2.22651,2.03858,-1.50727,-4.03392,1.70138,1.21898,-1.28199,0.490581,0.937069,1.83902
238.886893424,-146.151,-0.396299,-2.83527,-2.45819,-4.16308,-0.233012,-1.25414,-0.437557,-0.970393,1.8757,1.5029,1.73691,-0.454932,-0.833498,-2.56737,-1.92069,-2.37151,-1.81885,0.289193,-0.614584,-2.47526
238.910113379,-147.092,3.6083,3.84365,6.02971,0.298131,1.25424,-1.01055,1.6185,2.12804,5.4288,4.37552,1.53403,0.863868,2.54161,0.49027,0.0492579,-0.208222,0.369498,-1.92308,-1.94482,-0.935715
238.933333333,-145.705,3.26678,1.49334,2.89345,0.00425411,-0.178079,0.131756,3.7327,3.5056,4.45473,4.56059,6.2987,2.20917,-0.392759,-1.61857,0.728602,-1.18715,-1.26614,0.816922,1.95953,-0.0835521
238.956553288,-152.142,-0.350319,0.767329,1.19409,-0.407668,1.6615,0.451698,1.85811,3.71637,4.18655,2.93946,3.47267,2.37206,0.716665,1.51147,5.05147,4.02725,2.65557,-0.774109,-1.61208,-0.730733
238.979773243,-141.715,2.56818,0.139148,3.75968,-0.352579,2.91602,0.566709,2.52271,1.15445,2.80696,-0.656533,1.36919,0.844185,2.62447,1.81185,1.12958,0.0689892,0.975205,1.1671,-0.370517,-0.697853
239.002993197,-147.502,2.05613,0.841209,2.06127,0.0204314,3.31797,3.87447,2.98718,2.04573,2.31187,0.796343,3.44708,0.18338,1.61425,3.24619,4.66066,2.34147,0.605501,0.759249,1.01255,0.721219
239.026213152,-147.217,3.7548,0.917114,3.1759,1.8218,2.81662,2.42938,1.65987,1.35137,2.65455,1.94859,2.6002,2.75939,2.16088,1.47462,3.16473,0.589624,1.56053,1.06802,0.505864,0.327349
239.049433107,-146.973,1.33098,0.705541,2.8298,1.29286,3.98314,3.34959,3.59203,2.85522,3.50322,2.98534,3.76167,2.93584,3.35462,1.44815,0.279072,-0.497569,0.76339,0.997763,1.45298,-2.21452
239.072653061,-146.377,1.26604,2.54798,1.47189,1.97068,3.90678,3.32741,5.44193,4.28102,3.57105,2.322,3.33369,1.39592,1.42848,0.011062,-0.362053,-0.587825,1.63351,0.922082,0.934756,-0.475877
239.095873016,-173.8,10.2247,2.40013,6.84141,2.30628,7.26376,2.33926,3.08369,1.37214,1.02881,1.40404,4.77205,3.37362,1.25889,0.695012,2.09354,1.40171,0.572679,1.69113,-0.106652,-0.585291
239.119092971,-179.981,8.65494,2.95818,8.50066,4.47297,8.36036,3.87718,3.96382,0.433182,0.0881642,2.28649,5.66497,3.50918,2.22818,1.02372,-0.300215,-0.875078,-1.07354,-0.0547595,3.07931,3.42991
239.142312925,-179.291,11.3104,3.61738,6.86614,0.600675,5.03627,5.59044,4.5032,2.36617,3.42168,3.29187,2.44014,1.27946,1.78411,-0.0774263,-0.285511,-1.30645,0.285296,1.32315,0.797872,1.23624
239.165532880,-180.521,9.36967,2.82862,6.13456,3.18783,6.68492,2.81493,3.73587,3.69873,6.14065,2.60002,1.5326,1.11298,2.19058,0.348156,0.537292,-0.139168,0.442327,-0.525903,-0.0378847,0.951178
239.188752834,-180.081,8.91946,3.44005,8.00545,4.03914,6.70169,4.70797,3.77282,2.91709,2.94294,1.57204,2.40737,1.70128,-0.109715,-0.822647,0.671869,-1.27124,0.914215,0.358451,1.58888,1.50725
239.211972789,-174.332,13.5446,3.97261,7.90392,2.14149,4.62292,2.53497,4.25618,2.56537,2.09714,1.71959,0.43101,0.307098,-0.164995,1.0515,2.61089,3.02503,-1.20521,-0.50509,0.35683,0.980759
239.235192744,-177.624,12.1781,4.35937,6.18183,2.64307,6.11522,1.61142,2.04973,3.36734,4.56863,2.00877,1.98725,-0.352948,1.09916,1.0227,0.735395,0.728857,0.652567,-0.889432,-0.0604135,0.389494
239.258412698,-158.191,6.9578,3.65341,5.48983,4.17426,3.20793,0.843803,1.2226,2.08456,4.10785,1.71672,3.15769,1.19014,1.91419,0.635199,0.415061,-0.0963538,0.577839,0.789278,-0.467818,-1.19178
239.281632653,-145.844,-2.04696,-2.45328,-3.92787,-6.37292,-2.51012,-2.08776,0.376298,-0.628242,2.3196,1.30529,2.59093,1.05886,-1.43772,-4.12401,-3.74652,-1.43352,0.176922,0.447644,-0.826208,-0.897907
239.304852608,-144.814,-0.246138,-0.494957,0.290813,-2.51533,1.84951,3.14875,2.69868,3.18806,6.15441,5.36879,4.63814,3.72319,2.42418,1.78048,0.235375,-1.68684,0.0972887,-1.2215,-1.04918,0.268815
239.328072562,-148.182,2.25833,0.875172,2.33355,0.297502,2.77644,2.32233,2.21657,1.995,4.19976,5.04958,5.55555,2.67328,0.37953,-1.19286,-1.35592,-0.990471,1.46755,2.26713,1.43986,-0.26553
239.351292517,-150.304,0.783276,0.499611,0.278992,-3.31627,2.46557,2.78563,6.25423,5.14852,5.53989,3.53514,3.36358,2.02605,1.62396,-0.943876,-1.62235,-0.57987,0.60271,1.54679,2.15938,1.07222
239.374512472,-145.094,0.985572,-0.0471107,4.07826,-1.85219,0.278021,0.554591,2.77674,1.20099,2.58195,3.73917,3.36977,1.64764,2.41483,-1.93868,-0.0438908,-1.03134,-0.38579,0.504949,0.347508,1.20012
239.397732426,-151.845,0.360571,1.15861,4.49522,-1.53682,0.912144,0.344347,1.64593,1.60194,3.01822,2.58367,2.74933,-0.572615,0.923798,3.84162,6.24417,4.4733,2.23439,0.433368,1.0435,-0.66402
239.420952381,-152.931,-1.3402,-0.479483,3.25368,-0.220795,4.28165,2.90734,0.661565,0.944303,1.35331,-0.832299,4.96735,5.36976,4.27495,2.79682,3.2836,2.06645,1.7236,-0.541296,1.30852,2.68
239.444172336,-151.716,1.84546,0.864867,0.997301,-2.31645,-1.56694,2.1601,4.37242,4.22901,5.27842,3.05543,2.47132,1.25981,1.82172,2.24656,2.94381,0.613963,3.25085,3.73476,0.545216,0.103403
239.467392290,-155.673,1.0833,-2.41613,0.766061,-1.76271,3.21903,4.2702,6.81346,3.90001,5.11068,2.52159,3.97231,3.83376,3.89408,1.72806,0.291682,1.67854,1.62642,1.02574,1.60905,0.265735
239.490612245,-150.896,1.70622,2.37671,2.19135,-0.0884383,5.17127,4.20568,5.62006,2.6602,2.77904,2.51825,2.4531,1.77196,1.56147,0.0470528,0.358182,1.73271,2.22358,1.5739,-0.0201391,-0.0561456
239.513832200,-151.67,0.488563,2.25551,3.746,3.00402,5.07724,4.86699,4.84215,3.70404,3.0298,2.30751,2.93507,1.11826,-0.214854,-1.21341,0.388783,-0.702603,1.3183,0.998293,2.5874,1.70507
239.537052154,-152.375,4.13925,3.69138,2.10458,1.39634,3.37079,1.98397,4.4444,3.56183,4.72603,2.22123,0.370605,1.02874,3.33763,1.38377,0.205924,1.69752,2.47588,1.09056,-1.04085,0.611364
239.560272109,-157.483,3.59234,5.24502,4.45694,0.573114,5.06029,2.75778,4.8722,3.16359,3.1428,1.80118,0.0787262,-1.9397,1.13994,3.15618,4.36229,2.6323,1.2934,0.599611,-0.65776,-1.217
239.583492063,-152.614,4.31294,2.73736,1.33272,3.73255,4.32945,2.67132,6.85606,4.18013,3.37585,1.1796,2.32221,1.58284,-0.548753,-1.9454,-0.435714,-0.858526,0.959194,1.11999,1.29961,2.12067
239.606712018,-153.973,6.51905,3.86695,4.53545,2.90224,3.36088,-0.63859,3.26855,4.44954,3.73376,2.56609,3.05645,0.111534,-0.056007,-0.135308,1.28549,0.56084,0.882738,-0.672081,-0.870595,0.818734
239.629931973,-154.553,4.32673,3.0127,2.50788,3.0892,5.67631,4.12539,5.2248,3.02926,0.674375,3.08223,2.41444,2.18581,2.06211,-0.449572,-2.02995,-0.384626,-0.136121,0.205808,0.84785,1.4976
239.653151927,-150.791,0.952549,2.6821,3.23284,3.0253,4.6912,4.15173,5.70534,3.77526,3.73253,2.41498,1.47685,0.284543,1.38565,-1.32066,-1.89955,1.7723,3.32912,1.94337,2.47362,0.419959
239.676371882,-145.612,-0.624461,-0.610207,-0.904604,-4.69417,-2.8055,-0.754422,1.36436,2.03928,5.74301,2.76184,2.2695,-0.654918,-0.402793,-2.45193,-1.16535,0.366507,1.81831,1.93182,1.74194,2.24192
